OBJECTID;CRSH_ID;COUNTY;COUNTY_NBR;MUNCIPALIT;ON_RD;DIS;DIR;FROM_RD;TWDS_RD;MLPST_RD;GIS_MP_ROU;MILEPOST;HO_ROUTE_N;HO_ROUTE_C;SEV;CRASH_DATE;DAY;TIME;LIGHT_COND;ROAD_SURFA;ALCOHOL_FL;MOTORCYCLE;HEAVY_TRUC;SPEED_RELA;OLDER_DRIV;TEEN_DRIVE;CRASH_TYPE;LOC_ERROR;geo_shape;geo_point_2d
592;103865661.0;CASWELL;16.0;YANCEYVILLE;NC 119;1.4000000000000001;N;SR 1564;SR 1562;NC 119;3000011920.0;19.330000000000002;NC 119;NC;K;2013-10-03T22:00:00-04:00;FRIDAY;1899-12-29T19:09:21-05:00;DARK - ROADWAY NOT LIGHTED;DRY;Y;N;N;Y;N;N;LANE_DEPARTURE;NO ERROR;"{""type"": ""Point"", ""coordinates"": [-79.17617674332574, 36.47390862481891]}";36.4739086248, -79.1761767433
585;103833842.0;CATAWBA;17.0;HICKORY;SR 1453;0.07400000000000001;N;SR 1512;SR 1511;SR 1453;4000145320.0;5.747;SR 1453;SR;K;2013-08-15T22:00:00-04:00;FRIDAY;1899-12-29T19:09:21-05:00;DARK - ROADWAY NOT LIGHTED;DRY;N;N;N;N;N;Y;FRONTAL_IMPACT;NO ERROR;"{""type"": ""Point"", ""coordinates"": [-81.23058847830816, 35.78300302741636]}";35.7830030274, -81.2305884783
607;103835649.0;CHATHAM;18.0;GOLDSTON;SR 2306;0.2;N;SR 2140;SR 2305;SR 2306;4000230620.0;2.1550000000000002;SR 2306;SR;K;2013-08-26T22:00:00-04:00;TUESDAY;1899-12-29T19:09:21-05:00;DARK - ROADWAY NOT LIGHTED;DRY;N;N;N;N;N;N;PEDESTRIAN;NO ERROR;"{""type"": ""Point"", ""coordinates"": [-79.33471952537822, 35.54700536502301]}";35.547005365, -79.3347195254
605;103756461.0;CABARRUS;12.0;CONCORD;US 601;0.1;S;SR 1150;SR 2630;US 601;2000060110.0;10.31;US 601;US;K;2013-05-15T22:00:00-04:00;THURSDAY;1899-12-29T19:09:21-05:00;DAYLIGHT;DRY;N;N;N;N;Y;N;LANE_DEPARTURE;NO ERROR;"{""type"": ""Point"", ""coordinates"": [-80.51908133134754, 35.337188300414844]}";35.3371883004, -80.5190813313
604;103756918.0;CATAWBA;17.0;LONG VIEW;SECOND;0.0;N;23RD;24TH;SR 1306;4000130620.0;0.56;SR 1306;SR;K;2013-05-13T22:00:00-04:00;TUESDAY;1899-12-29T19:09:21-05:00;DAYLIGHT;DRY;N;N;N;N;Y;N;FRONTAL_IMPACT;NO ERROR;"{""type"": ""Point"", ""coordinates"": [-81.37749686171793, 35.73636116253778]}";35.7363611625, -81.3774968617
581;103131706.0;CABARRUS;12.0;KANNAPOLIS;SR 2411;0.17;S;SR 2473;SR 2402;SR 2411;4000241110.0;999.999;SR 2411;SR;K;2011-04-07T22:00:00-04:00;FRIDAY;1899-12-29T19:09:21-05:00;DAYLIGHT;DRY;N;N;N;N;N;Y;LANE_DEPARTURE;ROUTE MEASURE NOT FOUND;;
610;102922259.0;CALDWELL;13.0;LENOIR;BLOWING ROCK;0.056;S;HOSPITAL;COMMERCIAL;US 321;2000032110.0;14.388;US 321;US;K;2010-07-26T22:00:00-04:00;TUESDAY;1899-12-29T19:09:21-05:00;DARK - LIGHTED ROADWAY;DRY;N;N;N;N;N;N;PEDESTRIAN;NO ERROR;"{""type"": ""Point"", ""coordinates"": [-81.52480395814443, 35.92017147574687]}";35.9201714757, -81.5248039581
641;103169446.0;BUNCOMBE;10.0;ASHEVILLE;SR 3484;0.5;S;SR 3480;*PVA RICE PINNACLE RD;SR 3484;4000348410.0;0.769;SR 3484;SR;K;2011-06-01T22:00:00-04:00;THURSDAY;1899-12-29T19:09:21-05:00;DAYLIGHT;DRY;Y;N;N;Y;N;N;LANE_DEPARTURE;NO ERROR;"{""type"": ""Point"", ""coordinates"": [-82.60617234092199, 35.50170181966664]}";35.5017018197, -82.6061723409
632;104076162.0;CABARRUS;12.0;HARRISBURG;MOREHEAD;0.2;S;HUDSPETH;CARVING TREE;SR 1300;4000130010.0;1.5030000000000001;SR 1300;SR;K;2014-05-16T22:00:00-04:00;SATURDAY;1899-12-29T19:09:21-05:00;DAYLIGHT;DRY;UNK;Y;N;N;N;N;FRONTAL_IMPACT;NO ERROR;"{""type"": ""Point"", ""coordinates"": [-80.674841691715, 35.33891365271467]}";35.3389136527, -80.6748416917
658;103050743.0;CABARRUS;12.0;CONCORD;I 85;0.4;S;SR 1394;SR 2894;I 85;1000008510.0;2.6;I 85;INTERSTATE;K;2010-12-19T20:00:00-05:00;MONDAY;1899-12-29T19:09:21-05:00;DARK - ROADWAY NOT LIGHTED;DRY;N;Y;N;N;N;N;SIDESWIPE;NO ERROR;"{""type"": ""Point"", ""coordinates"": [-80.70049300435235, 35.39642787778735]}";35.3964278778, -80.7004930044
616;103597582.0;CARTERET;15.0;MOREHEAD CITY;US 70;0.171;W;BALD;LOCKHART;US 70;2000007020.0;12.289;US 70;US;K;2012-05-05T22:00:00-04:00;SUNDAY;1899-12-29T19:09:21-05:00;DARK - LIGHTED ROADWAY;WET;Y;N;N;Y;N;N;LANE_DEPARTURE;NO ERROR;"{""type"": ""Point"", ""coordinates"": [-76.76159643161652, 34.72493061636813]}";34.7249306164, -76.7615964316
626;102935662.0;CATAWBA;17.0;HICKORY;US 321;0.25;S;SR 1144;NC 10;US 321;2000032120.0;10.329;US 321;US;K;2010-08-05T22:00:00-04:00;FRIDAY;1899-12-29T19:09:21-05:00;DARK - ROADWAY NOT LIGHTED;DRY;N;N;Y;N;N;N;PEDESTRIAN;NO ERROR;"{""type"": ""Point"", ""coordinates"": [-81.3384543093007, 35.676396409320844]}";35.6763964093, -81.3384543093
636;102879475.0;CABARRUS;12.0;CONCORD;I 85;0.8;S;SR 1790;NC 73;I 85;1000008510.0;7.408;I 85;INTERSTATE;K;2010-05-26T22:00:00-04:00;THURSDAY;1899-12-29T19:09:21-05:00;DAYLIGHT;DRY;N;N;N;N;N;N;LANE_DEPARTURE;NO ERROR;"{""type"": ""Point"", ""coordinates"": [-80.63967545698362, 35.43878234361007]}";35.4387823436, -80.639675457
660;102965036.0;CHATHAM;18.0;SILER CITY;SR 1004;0.1;S;SR 1332;SR 1316;SR 1004;4000100420.0;5.752000000000001;SR 1004;SR;K;2010-09-12T22:00:00-04:00;MONDAY;1899-12-29T19:09:21-05:00;DAYLIGHT;DRY;N;N;N;N;N;N;LANE_DEPARTURE;NO ERROR;"{""type"": ""Point"", ""coordinates"": [-79.44311505384007, 35.764154571206575]}";35.7641545712, -79.4431150538
623;103774945.0;CHEROKEE;19.0;ANDREWS;US 19;0.5;N;SR 1635;SR 1503;US 19;2000001920.0;29.13;US 19;US;K;2013-06-08T22:00:00-04:00;SUNDAY;1899-12-29T19:09:21-05:00;DAYLIGHT;WET;Y;N;N;N;N;N;SIDESWIPE;NO ERROR;"{""type"": ""Point"", ""coordinates"": [-83.75771565819396, 35.21254357886414]}";35.2125435789, -83.7577156582
615;104159721.0;CATAWBA;17.0;NEWTON;SR 1844;0.0;;SR 1936;SR 1899;SR 1844;4000184420.0;0.99;SR 1844;SR;K;2014-09-05T22:00:00-04:00;SATURDAY;1899-12-29T19:09:21-05:00;DARK - ROADWAY NOT LIGHTED;DRY;Y;N;N;N;N;N;OTHER;NO ERROR;"{""type"": ""Point"", ""coordinates"": [-80.99050219566321, 35.55751974609525]}";35.5575197461, -80.9905021957
663;104168256.0;BUNCOMBE;10.0;ASHEVILLE;SR 3449;0.019;S;SR 3446;SR 3467;SR 3449;4000344910.0;1.2850000000000001;SR 3449;SR;K;2014-09-23T22:00:00-04:00;WEDNESDAY;1899-12-29T19:09:21-05:00;DARK - ROADWAY NOT LIGHTED;WET;N;N;N;N;N;N;OTHER;NO ERROR;"{""type"": ""Point"", ""coordinates"": [-82.68658312724115, 35.52051384747223]}";35.5205138475, -82.6865831272
693;103153118.0;CALDWELL;13.0;HUDSON;HICKORY;0.01;E;MOUNT HERMAN;PINE MOUNTAIN;US 321;2000032110.0;9.323;US 321;US;K;2011-04-18T22:00:00-04:00;TUESDAY;1899-12-29T19:09:21-05:00;DAYLIGHT;DRY;N;N;N;N;Y;N;FRONTAL_IMPACT;NO ERROR;"{""type"": ""Point"", ""coordinates"": [-81.48600143046984, 35.85832165536933]}";35.8583216554, -81.4860014305
718;104049923.0;CABARRUS;12.0;CONCORD;WILSHIRE;0.021;E;SPRING;UNION;SR 1157;4000115710.0;4.029;SR 1157;SR;K;2014-04-09T22:00:00-04:00;THURSDAY;1899-12-29T19:09:21-05:00;DARK - LIGHTED ROADWAY;DRY;N;N;N;N;Y;N;PEDESTRIAN;NO ERROR;"{""type"": ""Point"", ""coordinates"": [-80.56911283614755, 35.39567160120862]}";35.3956716012, -80.5691128361
674;104092055.0;CABARRUS;12.0;MIDLAND;NC 24;0.035;E;HOLT-KAY;BETHEL SCHOOL;NC 24;3000002410.0;4.389;NC 24;NC;K;2014-05-21T22:00:00-04:00;THURSDAY;1899-12-29T19:09:21-05:00;DAYLIGHT;DRY;N;N;N;N;N;N;LANE_DEPARTURE;NO ERROR;"{""type"": ""Point"", ""coordinates"": [-80.52901059434322, 35.24968652202631]}";35.249686522, -80.5290105943
692;103269988.0;BURKE;11.0;DREXEL;SR 1515;1.8;N;SR 1513;CL-CALDWELL;SR 1515;4000151510.0;0.6950000000000001;SR 1515;SR;K;2011-10-06T22:00:00-04:00;FRIDAY;1899-12-29T19:09:21-05:00;DAYLIGHT;DRY;N;N;N;Y;N;Y;LANE_DEPARTURE;NO ERROR;"{""type"": ""Point"", ""coordinates"": [-81.59036319988564, 35.79851668356071]}";35.7985166836, -81.5903631999
700;103074462.0;CASWELL;16.0;YANCEYVILLE;NC 62;0.54;S;SR 1783;SR 1751;NC 62;3000006220.0;6.936;NC 62;NC;K;2011-01-22T20:00:00-05:00;SUNDAY;1899-12-29T19:09:21-05:00;DAYLIGHT;DRY;N;N;N;N;N;Y;LANE_DEPARTURE;NO ERROR;"{""type"": ""Point"", ""coordinates"": [-79.34928667866231, 36.32366958062867]}";36.3236695806, -79.3492866787
698;103038280.0;CALDWELL;13.0;LENOIR;US 321;1.3;N;SR 1372;SR 1421;US 321;2000032110.0;27.874000000000002;US 321;US;K;2010-12-03T20:00:00-05:00;SATURDAY;1899-12-29T19:09:21-05:00;DAYLIGHT;SLUSH;N;N;N;Y;Y;N;OTHER;NO ERROR;"{""type"": ""Point"", ""coordinates"": [-81.6232567536845, 36.0742827855593]}";36.0742827856, -81.6232567537
706;104124757.0;CATAWBA;17.0;NEWTON;SR 1002;1.7;S;NC 10;SR 1124;SR 1002;4000100220.0;10.754000000000001;SR 1002;SR;K;2014-08-06T22:00:00-04:00;THURSDAY;1899-12-29T19:09:21-05:00;DARK - ROADWAY NOT LIGHTED;DRY;Y;N;N;N;N;N;LANE_DEPARTURE;ROUTE MEASURE NOT FOUND;;
689;103226988.0;CALDWELL;13.0;LENOIR;SR 1332;0.7000000000000001;S;SR 1328;CL-BURKE;SR 1332;4000133210.0;999.999;SR 1332;SR;K;2011-08-03T22:00:00-04:00;THURSDAY;1899-12-29T19:09:21-05:00;DAYLIGHT;DRY;N;Y;N;N;N;N;LANE_DEPARTURE;ROUTE MEASURE NOT FOUND;;
665;102819225.0;CATAWBA;17.0;CONOVER;CONOVER;0.0;;SEVENTH;*;CONOVER;5000679320.0;999.999;CONOVER;LCL;K;2010-03-18T21:00:00-04:00;FRIDAY;1899-12-29T19:09:21-05:00;DARK - LIGHTED ROADWAY;DRY;Y;N;N;N;N;N;LANE_DEPARTURE;ROUTE NOT FOUND;;
713;104200663.0;BUNCOMBE;10.0;ASHEVILLE;BILTMORE;0.003;S;SHORT COXE;WHITE FAWN;SR 3214;4000321410.0;0.14300000000000002;SR 3214;SR;K;2014-10-16T22:00:00-04:00;FRIDAY;1899-12-29T19:09:21-05:00;DARK - LIGHTED ROADWAY;DRY;Y;N;N;N;N;N;PEDESTRIAN;NO ERROR;"{""type"": ""Point"", ""coordinates"": [-82.55170155591581, 35.58639040121281]}";35.5863904012, -82.5517015559
722;104164504.0;BURKE;11.0;MORGANTON;I 40;0.2;E;*MILE 105;*MILE 106;I 40;1000004010.0;12.07;I 40;INTERSTATE;K;2014-09-18T22:00:00-04:00;FRIDAY;1899-12-29T19:09:21-05:00;DARK - LIGHTED ROADWAY;DRY;UNK;N;N;N;N;N;LANE_DEPARTURE;NO ERROR;"{""type"": ""Point"", ""coordinates"": [-81.65828345689755, 35.72165956257446]}";35.7216595626, -81.6582834569
747;103517000.0;CATAWBA;17.0;HICKORY;NC 127;0.3;S;42ND;FALLING CREEK;NC 127;3000012720.0;12.941;NC 127;NC;K;2012-07-28T22:00:00-04:00;SUNDAY;1899-12-29T19:09:21-05:00;DAYLIGHT;DRY;Y;Y;N;N;N;N;REAR_END;NO ERROR;"{""type"": ""Point"", ""coordinates"": [-81.32014052975595, 35.78380520821644]}";35.7838052082, -81.3201405298
686;103719623.0;CATAWBA;17.0;LONG VIEW;SR 1111;0.59;E;SR 1112;SR 1002;SR 1111;4000111120.0;2.407;SR 1111;SR;K;2013-04-06T22:00:00-04:00;SUNDAY;1899-12-29T19:09:21-05:00;DAYLIGHT;DRY;N;Y;N;N;N;N;OTHER;NO ERROR;"{""type"": ""Point"", ""coordinates"": [-81.47130329499828, 35.61945530316543]}";35.6194553032, -81.471303295
676;103246202.0;CATAWBA;17.0;NEWTON;NC 16;0.0;;SR 1746;SR 1739;NC 16;3000001620.0;12.713000000000001;NC 16;NC;K;2011-08-25T22:00:00-04:00;FRIDAY;1899-12-29T19:09:21-05:00;DAYLIGHT;DRY;N;N;N;N;Y;N;FRONTAL_IMPACT;NO ERROR;"{""type"": ""Point"", ""coordinates"": [-81.19427360063098, 35.68033775968288]}";35.6803377597, -81.1942736006
685;103159749.0;CARTERET;15.0;MOREHEAD CITY;US 70;1.0;E;THIRD;RADIO ISLAND;US 70;2000007020.0;999.999;US 70;US;K;2011-04-02T22:00:00-04:00;SUNDAY;1899-12-29T19:09:21-05:00;DARK - ROADWAY NOT LIGHTED;DRY;Y;N;N;N;N;N;REAR_END;ROUTE MEASURE NOT FOUND;;
755;104226318.0;CATAWBA;17.0;HICKORY;EIGHTH;0.0;;ELEVENTH;I 40;EIGHTH;5000945420.0;999.999;EIGHTH;LCL;K;2014-11-10T20:00:00-05:00;TUESDAY;1899-12-29T19:09:21-05:00;DARK - LIGHTED ROADWAY;DRY;UNK;Y;N;N;N;N;FRONTAL_IMPACT;ROUTE NOT FOUND;;
767;103831744.0;BUNCOMBE;10.0;ASHEVILLE;SR 3116;0.08;E;ML-ASHEVILLE;SR 3121;SR 3116;4000311610.0;0.62;SR 3116;SR;K;2013-08-18T22:00:00-04:00;MONDAY;1899-12-29T19:09:21-05:00;DARK - ROADWAY NOT LIGHTED;WET;N;N;N;N;Y;N;PEDESTRIAN;NO ERROR;"{""type"": ""Point"", ""coordinates"": [-82.51197067436016, 35.496062384482066]}";35.4960623845, -82.5119706744
789;103332988.0;CATAWBA;17.0;LONG VIEW;SR 1002;0.1;N;SR 1122;SR 1123;SR 1002;4000100220.0;1.47;SR 1002;SR;K;2011-12-12T20:00:00-05:00;TUESDAY;1899-12-29T19:09:21-05:00;DARK - ROADWAY NOT LIGHTED;DRY;Y;N;N;Y;N;Y;LANE_DEPARTURE;NO ERROR;"{""type"": ""Point"", ""coordinates"": [-81.42656911590525, 35.66411244499645]}";35.664112445, -81.4265691159
773;102798373.0;CATAWBA;17.0;NEWTON;SR 2087;0.17;SW;SR 1008;SR 2087;SR 2087;4000208720.0;0.0;SR 2087;SR;K;2010-02-05T20:00:00-05:00;SATURDAY;1899-12-29T19:09:21-05:00;DARK - ROADWAY NOT LIGHTED;DRY;Y;N;N;N;N;N;PEDESTRIAN;NO ERROR;"{""type"": ""Point"", ""coordinates"": [-81.3167214561499, 35.60876602879319]}";35.6087660288, -81.3167214561
786;104184172.0;CABARRUS;12.0;CONCORD;ROCK HILL CH;0.01;NW;CAVALIER;CROSS BOW;SR 1414;4000141410.0;0.298;SR 1414;SR;K;2014-09-25T22:00:00-04:00;FRIDAY;1899-12-29T19:09:21-05:00;DAWN;DRY;N;N;N;N;N;N;LANE_DEPARTURE;NO ERROR;"{""type"": ""Point"", ""coordinates"": [-80.62016099898987, 35.39754433100966]}";35.397544331, -80.620160999
762;102879739.0;BURKE;11.0;MORGANTON;SR 1924;0.1;S;SR 1901;SR 1906;SR 1924;4000192410.0;3.0620000000000003;SR 1924;SR;K;2010-06-04T22:00:00-04:00;SATURDAY;1899-12-29T19:09:21-05:00;DAYLIGHT;DRY;N;N;N;N;Y;N;LANE_DEPARTURE;NO ERROR;"{""type"": ""Point"", ""coordinates"": [-81.56888871521907, 35.59717772299748]}";35.597177723, -81.5688887152
766;103640213.0;BURKE;11.0;GLEN ALPINE;US 70;0.25;W;SR 1206;SR 1233;US 70;2000007010.0;1.28;US 70;US;K;2012-12-29T20:00:00-05:00;SUNDAY;1899-12-29T19:09:21-05:00;DAYLIGHT;DRY;N;N;N;N;N;N;LANE_DEPARTURE;NO ERROR;"{""type"": ""Point"", ""coordinates"": [-81.84635323908765, 35.70626165233138]}";35.7062616523, -81.8463532391
771;103243518.0;BUNCOMBE;10.0;ASHEVILLE;SR 3075;0.17;N;SR 3056;SR 3069;SR 3075;4000307510.0;0.41000000000000003;SR 3075;SR;K;2011-08-26T22:00:00-04:00;SATURDAY;1899-12-29T19:09:21-05:00;DAYLIGHT;DRY;N;Y;N;Y;Y;N;OTHER;NO ERROR;"{""type"": ""Point"", ""coordinates"": [-82.502983393686, 35.55314528655977]}";35.5531452866, -82.5029833937
765;103268180.0;CASWELL;16.0;YANCEYVILLE;SR 1004;0.0;;SR 1771;SR 1767;SR 1004;4000100420.0;1.3900000000000001;SR 1004;SR;K;2011-09-27T22:00:00-04:00;WEDNESDAY;1899-12-29T19:09:21-05:00;DAYLIGHT;DRY;N;N;N;N;N;N;FRONTAL_IMPACT;NO ERROR;"{""type"": ""Point"", ""coordinates"": [-79.23498757634898, 36.26216857420189]}";36.2621685742, -79.2349875763
782;103279197.0;CALDWELL;13.0;LENOIR;US 321;0.0;;NC 268;SR 1561;US 321;2000032110.0;19.733;US 321;US;K;2011-10-18T22:00:00-04:00;WEDNESDAY;1899-12-29T19:09:21-05:00;DAYLIGHT;WET;N;N;N;N;Y;N;FRONTAL_IMPACT;NO ERROR;"{""type"": ""Point"", ""coordinates"": [-81.56539422049399, 35.98120271410269]}";35.9812027141, -81.5653942205
797;102858982.0;CHEROKEE;19.0;ANDREWS;US 19;1.1;E;SR 1501;SR 1359;US 19;2000001920.0;999.999;US 19;US;K;2010-05-07T22:00:00-04:00;SATURDAY;1899-12-29T19:09:21-05:00;DAYLIGHT;DRY;N;N;N;N;N;N;LANE_DEPARTURE;ROUTE MEASURE NOT FOUND;;
942;104120216.0;CUMBERLAND;25.0;FAYETTEVILLE;STONEY POINT;0.019;W;DONNIE MAE;BAREFOOT;SR 1112;4000111230.0;5.4990000000000006;SR 1112;SR;K;2014-06-15T22:00:00-04:00;MONDAY;1899-12-29T19:09:21-05:00;DARK - ROADWAY NOT LIGHTED;DRY;N;N;N;N;N;N;LANE_DEPARTURE;NO ERROR;"{""type"": ""Point"", ""coordinates"": [-79.03825236218948, 34.99591162702597]}";34.995911627, -79.0382523622
953;103699846.0;DARE;27.0;NAGS HEAD;US 158;0.128;S;EIGHTH;*LCL W SATTERFIELD LNDG;US 158;2000015830.0;11.455;US 158;US;K;2013-02-14T20:00:00-05:00;FRIDAY;1899-12-29T19:09:21-05:00;DARK - ROADWAY NOT LIGHTED;DRY;UNK;N;N;N;N;N;PEDESTRIAN;NO ERROR;"{""type"": ""Point"", ""coordinates"": [-75.64705271470893, 35.99054882502875]}";35.990548825, -75.6470527147
932;104228778.0;CUMBERLAND;25.0;HOPE MILLS;GOLF VIEW;0.033;N;SOUCHAK;ROCKFISH;SR 1115;4000111530.0;0.503;SR 1115;SR;K;2014-11-13T20:00:00-05:00;FRIDAY;1899-12-29T19:09:21-05:00;DARK - ROADWAY NOT LIGHTED;DRY;UNK;Y;N;N;N;N;REAR_END;NO ERROR;"{""type"": ""Point"", ""coordinates"": [-78.96044597412062, 34.97213666184028]}";34.9721366618, -78.9604459741
939;102791119.0;CURRITUCK;26.0;KITTY HAWK;US 158;0.3;N;SR 1122;SR 1118;US 158;2000015830.0;23.952;US 158;US;K;2010-02-10T20:00:00-05:00;THURSDAY;1899-12-29T19:09:21-05:00;DARK - ROADWAY NOT LIGHTED;DRY;Y;N;N;Y;N;N;LANE_DEPARTURE;NO ERROR;"{""type"": ""Point"", ""coordinates"": [-75.86388319927426, 36.18902060052127]}";36.1890206005, -75.8638831993
955;104219894.0;CUMBERLAND;25.0;FAYETTEVILLE;SR 1007;0.075;N;SR 1400;SR 1404;SR 1007;4000100730.0;7.065;SR 1007;SR;K;2014-10-26T21:00:00-04:00;MONDAY;1899-12-29T19:09:21-05:00;DARK - ROADWAY NOT LIGHTED;DRY;Y;N;N;N;N;Y;PEDESTRIAN;NO ERROR;"{""type"": ""Point"", ""coordinates"": [-78.95423109050415, 35.0604640769833]}";35.060464077, -78.9542310905
935;103882048.0;DARE;27.0;MANTEO;NC 345;1.21;S;SR 1134;SR 1135;NC 345;3000034530.0;2.95;NC 345;NC;K;2013-10-22T22:00:00-04:00;WEDNESDAY;1899-12-29T19:09:21-05:00;DARK - ROADWAY NOT LIGHTED;DRY;N;N;N;N;N;Y;LANE_DEPARTURE;NO ERROR;"{""type"": ""Point"", ""coordinates"": [-75.64920168801751, 35.86690391427151]}";35.8669039143, -75.649201688
933;104189446.0;CUMBERLAND;25.0;FAYETTEVILLE;SR 1113;0.1;W;SR 3399;SR 3646;SR 1113;4000111330.0;1.391;SR 1113;SR;K;2012-06-03T22:00:00-04:00;MONDAY;1899-12-29T19:09:21-05:00;DAYLIGHT;DRY;N;Y;N;N;N;N;LANE_DEPARTURE;NO ERROR;"{""type"": ""Point"", ""coordinates"": [-79.02009600630217, 34.95933380201407]}";34.959333802, -79.0200960063
954;103010999.0;CUMBERLAND;25.0;FAYETTEVILLE;ALL AMERICAN;0.0;;SKIBO;YADKIN;SR 1007;4000100730.0;8.28;SR 1007;SR;K;2010-09-17T22:00:00-04:00;SATURDAY;1899-12-29T19:09:21-05:00;DARK - ROADWAY NOT LIGHTED;DRY;Y;N;N;Y;N;N;LANE_DEPARTURE;NO ERROR;"{""type"": ""Point"", ""coordinates"": [-78.95981396076957, 35.07705949332133]}";35.0770594933, -78.9598139608
925;103479746.0;CUMBERLAND;25.0;HOPE MILLS;SR 2262;0.004;N;SR 2238;MEMORY;SR 2262;4000226230.0;0.0;SR 2262;SR;K;2012-06-10T22:00:00-04:00;MONDAY;1899-12-29T19:09:21-05:00;DARK - ROADWAY NOT LIGHTED;WET;Y;N;N;N;N;N;LANE_DEPARTURE;NO ERROR;"{""type"": ""Point"", ""coordinates"": [-78.86581894634722, 34.932803289016604]}";34.932803289, -78.8658189463
890;104134040.0;CABARRUS;12.0;HARRISBURG;MOREHEAD;0.045000000000000005;S;AUTUMN;PLAZA;SR 1300;4000130010.0;0.29200000000000004;SR 1300;SR;K;2014-08-05T22:00:00-04:00;WEDNESDAY;1899-12-29T19:09:21-05:00;DARK - LIGHTED ROADWAY;DRY;Y;Y;N;Y;N;N;REAR_END;NO ERROR;"{""type"": ""Point"", ""coordinates"": [-80.66265321223074, 35.324997398888925]}";35.3249973989, -80.6626532122
876;103917511.0;CABARRUS;12.0;CONCORD;WEDDINGTON;0.0;NW;CONCORD FARMS;GEORGE LYLES;SR 1431;4000143110.0;2.205;SR 1431;SR;K;2013-11-04T20:00:00-05:00;TUESDAY;1899-12-29T19:09:21-05:00;DAYLIGHT;DRY;N;N;N;N;Y;N;FRONTAL_IMPACT;NO ERROR;"{""type"": ""Point"", ""coordinates"": [-80.6652985218977, 35.3955493995343]}";35.3955493995, -80.6652985219
909;102876135.0;CABARRUS;12.0;CONCORD;SR 1152;0.061000000000000006;W;SR 1208;DILEEN;SR 1152;4000115210.0;0.013000000000000001;SR 1152;SR;K;2010-05-30T22:00:00-04:00;MONDAY;1899-12-29T19:09:21-05:00;DAWN;DRY;Y;N;N;Y;N;N;LANE_DEPARTURE;NO ERROR;"{""type"": ""Point"", ""coordinates"": [-80.57729563244062, 35.341797350065065]}";35.3417973501, -80.5772956324
888;103068801.0;CARTERET;15.0;BEAUFORT;SR 1300;2.4;S;SR 1316;SR 1163;SR 1300;4000130020.0;7.6000000000000005;SR 1300;SR;K;2011-01-15T20:00:00-05:00;SUNDAY;1899-12-29T19:09:21-05:00;DAWN;DRY;UNK;N;N;Y;N;N;LANE_DEPARTURE;NO ERROR;"{""type"": ""Point"", ""coordinates"": [-76.62483490826769, 34.88987076613908]}";34.8898707661, -76.6248349083
973;103579298.0;CUMBERLAND;25.0;FAYETTEVILLE;SR 1003;0.0;;SR 3082;SR 1137;SR 1003;4000100330.0;1.35;SR 1003;SR;K;2012-10-20T22:00:00-04:00;SUNDAY;1899-12-29T19:09:21-05:00;DARK - ROADWAY NOT LIGHTED;DRY;Y;N;N;N;N;N;PEDESTRIAN;NO ERROR;"{""type"": ""Point"", ""coordinates"": [-78.9233029055507, 35.004332117828184]}";35.0043321178, -78.9233029056
929;102869623.0;DAVIDSON;28.0;LEXINGTON;US 64;0.0;;SR 2403;SR 2203;US 64;2000006430.0;10.208;US 64;US;K;2010-05-20T22:00:00-04:00;FRIDAY;1899-12-29T19:09:21-05:00;DARK - ROADWAY NOT LIGHTED;DRY;N;N;N;N;Y;N;FRONTAL_IMPACT;NO ERROR;"{""type"": ""Point"", ""coordinates"": [-80.22053407567425, 35.823350974542514]}";35.8233509745, -80.2205340757
921;104249760.0;CATAWBA;17.0;NEWTON;SR 2105;0.0;;SR 1880;NC 16;SR 2105;4000210520.0;0.0;SR 2105;SR;K;2014-12-11T20:00:00-05:00;FRIDAY;1899-12-29T19:09:21-05:00;DARK - LIGHTED ROADWAY;DRY;Y;Y;N;N;N;N;LANE_DEPARTURE;NO ERROR;"{""type"": ""Point"", ""coordinates"": [-81.20813466619136, 35.644434529707326]}";35.6444345297, -81.2081346662
889;102995598.0;BUNCOMBE;10.0;ASHEVILLE;RIVERSIDE;0.15;S;I 26;CRAVEN;RIVERSIDE;5002605610.0;999.999;RIVERSIDE;LCL;K;2010-10-12T22:00:00-04:00;WEDNESDAY;1899-12-29T19:09:21-05:00;DUSK;WET;N;N;N;N;Y;N;LANE_DEPARTURE;ROUTE NOT FOUND;;
912;104122722.0;CALDWELL;13.0;LENOIR;ELLERWOOD;0.4;NE;MARLEY;STARCROSS;;5004042010.0;999.999;ELLERWOOD;LCL;K;2014-08-11T22:00:00-04:00;TUESDAY;1899-12-29T19:09:21-05:00;DARK - UNKNOWN LIGHTING;WET;UNK;N;N;Y;N;Y;LANE_DEPARTURE;ROUTE NOT FOUND;;
862;103678997.0;CALDWELL;13.0;LENOIR;SR 1337;0.3;E;SR 1414;NC 90;SR 1337;4000133710.0;0.51;SR 1337;SR;K;2013-02-12T20:00:00-05:00;WEDNESDAY;1899-12-29T19:09:21-05:00;DARK - ROADWAY NOT LIGHTED;WET;Y;N;N;N;N;N;LANE_DEPARTURE;NO ERROR;"{""type"": ""Point"", ""coordinates"": [-81.70804154412622, 35.903708656586396]}";35.9037086566, -81.7080415441
